Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
159793,159793,308.52556451144426,-39.766090244207895,5.384786927298872,-0.6940492054066236,1032,1,24,57996.12773527,3.0,1.02,2.522,240.0,34293.950881743636,198.18662355251647
159794,159794,308.5241996606486,-39.80749434663129,5.384763106158692,-0.6947718433177449,1033,1,24,57992.10106363,1.0,1.02,2.364,240.0,1162.515117050112,79.09592121428236
159795,159795,308.5241986956446,-39.807461026806,5.384763089316193,-0.6947712617770871,1033,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1142.9674765059458,92.67560913276992
159796,159796,308.52422067094886,-39.807462051004855,5.384763472857607,-0.6947712796527298,1033,1,24,57996.12773527,3.0,1.02,2.522,240.0,1516.6822740269465,163.38911106494493
159797,159797,308.5243798149862,-39.81062911668006,5.3847662504450415,-0.6948265553763889,1034,1,24,57992.10106363,1.0,1.02,2.364,240.0,1264.6883034945579,78.89635130829934
159798,159798,308.524383167513,-39.810648170565116,5.384766308957674,-0.6948268879294185,1034,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1551.0072224804126,93.00565556530843
159799,159799,308.5243901687391,-39.81067033616204,5.384766431152121,-0.6948272747920654,1034,1,24,57996.12773527,3.0,1.02,2.522,240.0,1300.3395504331565,162.1657780612199
159800,159800,308.5236029893512,-39.695295162917844,5.3847526922799975,-0.6928135981438953,1035,1,24,57992.10106363,1.0,1.02,2.364,240.0,796.3750885182452,77.59360216688731
159801,159801,308.52359438453635,-39.69525513597596,5.384752542097646,-0.6928128995419697,1035,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,882.212030269028,92.204746951112
159802,159802,308.52360654071214,-39.699382758549426,5.384752754262938,-0.6928849401461566,1036,1,24,57992.10106363,1.0,1.02,2.364,240.0,1396.913386164764,79.41560475227892
